Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
249,RB,11199,"Ware, Spencer",IND,LAC,0,0,0,0,2.02,10,0.11,0.77,8,0,4
250,TE,12212,"Kroft, Tyler",BUF,NYJ,0,0,0,0,0,0,0,1.62,18,0.03,4
251,WR,13776,"Watson, Justin",TBB,SFO,0,0,0,0,0.12,1,0,1.69,20,0,4
252,TE,9912,"Dickson, Ed",SEA,CIN,0,0,0,0,0,0,0,1.49,15,0.22,4
253,RB,13108,"McKissic, J.D.",SEA,CIN,0,0,0,0,2.92,12,0,1.19,8,0.09,4
254,TE,12211,"James, Jesse",DET,ARI,0,0,0,0,0,0,0,2.12,23,0.07,4
255,TE,12208,"Heuerman, Jeff",DEN,OAK,0,0,0,0,0,0,0,1.33,15,0.09,4
256,RB,13133,"Perine, Samaje",WAS,PHI,0,0,0,0,5.86,19,0.03,1.37,9,0,4
257,WR,14136,"Samuel, Deebo",SFO,TBB,0,0,0,0,0.04,0,0,1.61,17,0,4
258,TE,13254,"Shaheen, Adam",CHI,GBP,0,0,0,0,0,0,0,1.31,15,0.14,4
259,WR,10983,"Hogan, Chris",CAR,LAR,0,0,0,0,0.08,0,0.02,1.69,23,0.07,4
260,RB,13726,"Edmonds, Chase",ARI,DET,0,0,0,0,4.1,12,0.09,1,6,0,4
261,WR,12471,"Roberts, Seth",BAL,MIA,0,0,0,0,0.2,0,0,1.8,18,0.06,4
262,TE,13680,"Hurst, Hayden",BAL,MIA,0,0,0,0,0.01,0,0,1.68,17,0.04,4
263,RB,12832,"Jackson, Darius",DAL,NYG,0,0,0,0,0.73,37,0,0,0,0,4
264,TE,12378,"Swaim, Geoff",JAC,KCC,0,0,0,0,0,0,0,2.31,20,0.06,4
265,TE,13678,"Thomas, Ian",CAR,LAR,0,0,0,0,0,0,0,2.39,22,0.07,4
266,WR,12814,"Grant, Jakeem",MIA,BAL,0,0,0,0,0.18,1,0,1.42,19,0.15,4
267,RB,14075,"Harris, Damien",NEP,PIT,0,0,0,0,7.02,26,0,1.14,8,0.05,4
268,WR,11456,"Brown, Jaron",SEA,CIN,0,0,0,0,0.01,0,0,1.34,15,0.15,4
269,WR,12824,"Core, Cody",CIN,SEA,0,0,0,0,0.09,0,0,1.65,15,0.08,4
270,RB,10369,"Powell, Bilal",NYJ,BUF,0,0,0,0,5.9,23,0.08,0.87,7,0.05,4
271,TE,13672,"Gesicki, Mike",MIA,BAL,0,0,0,0,0,0,0,2.35,21,0.06,4
272,WR,14112,"Campbell, Parris",IND,LAC,0,0,0,0,0.11,0,0,1.93,19,0.05,4
273,WR,12394,"Carter, DeAndre",HOU,NOS,0,0,0,0,0.12,1,0,1.59,17,0,4
274,RB,14284,"Thompson, Darwin",KCC,JAC,0,0,0,0,1.83,40,0,0.47,4,0,4
275,TE,10409,"Clay, Charles",ARI,DET,0,0,0,0,0,0,0,1.96,19,0.02,4
276,RB,14017,"Wilson, Jeffery",SFO,TBB,0,0,0,0,5.49,23,0,0.61,4,0,4
277,RB,11367,"Juszczyk, Kyle",SFO,TBB,0,0,0,0,0.33,1,0,1.51,16,0.06,4
278,RB,10870,"Morris, Alfred",DAL,NYG,0,0,0,0,6.01,22,0.08,0.43,4,0,3
279,WR,13637,"St. Brown, Equanimeous",GBP,CHI,0,0,0,0,0.08,0,0,1.27,19,0.01,3
280,WR,13167,"Taylor, Taywan",TEN,CLE,0,0,0,0,0.1,1,0,1.4,17,0.04,3
281,TE,10432,"Green, Virgil",LAC,IND,0,0,0,0,0,0,0,1.14,11,0.12,3
282,QB,14059,"Jones, Daniel",NYG,DAL,4.63,35,0.25,0.24,0.74,3,0,0,0,0,3
283,RB,13816,"Cannon, Trenton",NYJ,BUF,0,0,0,0,2.66,8,0.09,0.91,6,0,3
284,WR,13165,"Switzer, Ryan",PIT,NEP,0,0,0,0,0.31,1,0,1.58,10,0.05,3
285,WR,10500,"Pryor, Terrelle",JAC,KCC,0,0,0,0,0,0,0,0.51,9,0.09,3
286,QB,14058,"Haskins, Dwayne",WAS,PHI,2.23,63,0,0.44,0.12,1,0,0,0,0,3
287,QB,10697,"Tannehill, Ryan",TEN,CLE,4.15,45,0.27,0.21,1.04,4,0,0,0,0,3
288,TE,13919,"Firkser, Anthony",TEN,CLE,0,0,0,0,0,0,0,1.28,15,0.06,3
289,WR,13882,"Kirkwood, Keith",NOS,HOU,0,0,0,0,0.03,0,0,0.95,11,0.17,3
290,TE,11007,"Celek, Garrett",SFO,TBB,0,0,0,0,0,0,0,0.54,10,0.12,3
291,TE,11448,"Harris, Demetrius",CLE,TEN,0,0,0,0,0,0,0,0.86,10,0.15,3
292,TE,11399,"Griffin, Ryan",NYJ,BUF,0,0,0,0,0,0,0,1.31,17,0.06,3
293,WR,13488,"Pascal, Zach",IND,LAC,0,0,0,0,0.14,1,0,1.44,16,0.08,3
294,WR,13377,"Patrick, Tim",DEN,OAK,0,0,0,0,0.16,1,0,1.21,17,0.04,3
295,TE,13246,"Alie-Cox, Mo",IND,LAC,0,0,0,0,0,0,0,0.53,11,0.16,3
296,TE,11337,"Fells, Darren",HOU,NOS,0,0,0,0,0,0,0,0.62,6,0.1,3
297,TE,13753,"Akins, Jordan",HOU,NOS,0,0,0,0,0,0,0,1.21,15,0,3
298,QB,11642,"Bortles, Blake",LAR,CAR,3.97,44,0.17,0.22,1.51,7,0.01,0,0,0,3
299,QB,8062,"Fitzpatrick, Ryan",MIA,BAL,3.02,38,0.26,0.38,0.95,6,0.03,0,0,0,3
300,RB,12161,"Artis-Payne, Cameron",CAR,LAR,0,0,0,0,3.87,16,0.2,0.3,2,0.02,3
301,WR,12657,"Sharpe, Tajae",TEN,CLE,0,0,0,0,0.07,0,0,1.09,12,0.1,3
302,RB,13789,"Wilkins, Jordan",IND,LAC,0,0,0,0,3.09,19,0.06,1.03,5,0,3
303,WR,13794,"Ratley, Damion",CLE,TEN,0,0,0,0,0.06,0,0,1.35,17,0,3
304,WR,12185,"Hardy, Justin",ATL,MIN,0,0,0,0,0,0,0,0.9,9,0.14,3
305,WR,11925,"Hurns, Allen",MIA,BAL,0,0,0,0,0,0,0,0.67,11,0.09,3
306,QB,14062,"Grier, Will",CAR,LAR,1.04,52,0,0,0.52,0,0,0,0,0,2
307,WR,13999,"Beebe, Chad",MIN,ATL,0,0,0,0,0,0,0,0.95,9,0,2
308,WR,13668,"Chark, D.J.",JAC,KCC,0,0,0,0,0,0,0,0.8,9,0,2
309,WR,13893,"Sherfield, Trent",ARI,DET,0,0,0,0,0,0,0,1.06,11,0.07,2
310,TE,13890,"Croom, Jason",BUF,NYJ,0,0,0,0,0,0,0,1.06,12,0.01,2
311,WR,13910,"Powell, Brandon",DET,ARI,0,0,0,0,0.09,0,0,0.93,8,0,2
312,QB,13968,"Mullens, Nick",SFO,TBB,2.83,36,0.23,0.19,0.35,0,0,0,0,0,2
313,TE,13195,"Leggett, Jordan",TBB,SFO,0,0,0,0,0,0,0,0.55,5,0,2
314,RB,14093,"Armstead, Ryquell",JAC,KCC,0,0,0,0,2.63,8,0,0.61,5,0,2
315,QB,14057,"Lock, Drew",DEN,OAK,1.46,48,0,0.2,0.37,1,0,0,0,0,2
316,QB,14068,"Finley, Ryan",CIN,SEA,1.99,23,0.11,0.22,0.28,2,0,0,0,0,2
317,TE,13772,"Schultz, Dalton",DAL,NYG,0,0,0,0,0,0,0,0.57,6,0,2
318,WR,14107,"Arcega-Whiteside, JJ",PHI,WAS,0,0,0,0,0,0,0,0.78,7,0,2
319,WR,13280,"Williams, Chad",ARI,DET,0,0,0,0,0.1,1,0,0.83,9,0.07,2
320,RB,13239,"Penny, Elijhaa",NYG,DAL,0,0,0,0,0.55,2,0,0.56,4,0,2
321,WR,13647,"Ateman, Marcell",OAK,DEN,0,0,0,0,0,0,0,1.29,14,0.02,2
322,WR,13367,"Carr, Austin",NOS,HOU,0,0,0,0,0,0,0,0.64,6,0.06,2
323,TE,13880,"Arnold, Dan",NOS,HOU,0,0,0,0,0,0,0,0.92,12,0.05,2
324,QB,12617,"Kessler, Cody",PHI,WAS,2.15,20,0.12,0.1,0.82,3,0,0,0,0,2
325,WR,12731,"Rogers, Eli",PIT,NEP,0,0,0,0,0.07,0,0.02,1.45,10,0.05,2
326,TE,10838,"Ellison, Rhett",NYG,DAL,0,0,0,0,0,0,0,1.37,14,0.06,2
327,TE,14209,"Oliver, Josh",JAC,KCC,0,0,0,0,0,0,0,0.77,8,0,2
328,RB,11101,"Develin, James",NEP,PIT,0,0,0,0,0.19,0,0.16,0.57,3,0,2
329,WR,11104,"Bellamy, Josh",NYJ,BUF,0,0,0,0,0.1,1,0,0.76,9,0.03,2
330,QB,11151,"Barkley, Matt",BUF,NYJ,1.9,24,0.19,0.17,0.37,1,0,0,0,0,2
331,WR,11213,"Austin, Tavon",DAL,NYG,0,0,0,0,0.65,4,0,0.92,10,0.07,2
332,WR,11237,"Shepard, Russell",NYG,DAL,0,0,0,0,0,0,0,0.5,9,0.08,2
333,TE,11252,"Toilolo, Levine",SFO,TBB,0,0,0,0,0,0,0,1,13,0.03,2
334,TE,12792,"DeValve, Seth",CLE,TEN,0,0,0,0,0,0,0,0.66,9,0.02,2
335,TE,11381,"Willson, Luke",OAK,DEN,0,0,0,0,0,0,0,0.76,5,0.05,2
336,TE,11529,"Hill, Josh",NOS,HOU,0,0,0,0,0,0,0,1.07,14,0.05,2
337,TE,10742,"Allen, Dwayne",MIA,BAL,0,0,0,0,0,0,0,0.75,7,0.02,2
338,WR,11676,"Matthews, Jordan",SFO,TBB,0,0,0,0,0,0,0,0.75,8,0.08,2
339,TE,11701,"Grimble, Xavier",PIT,NEP,0,0,0,0,0,0,0,1.15,11,0.03,2
340,WR,11812,"Grant, Ryan",OAK,DEN,0,0,0,0,0.02,0,0,1.18,12,0.03,2
341,WR,11931,"Fowler, Bennie",NYG,DAL,0,0,0,0,0.01,0,0,1,13,0.06,2
342,TE,8269,"Lewis, Marcedes",GBP,CHI,0,0,0,0,0,0,0,0.52,6,0.02,2
343,QB,12142,"Hundley, Brett",ARI,DET,2.43,26,0.1,0.19,0.43,2,0.01,0,0,0,2
344,TE,12213,"Bell, Blake",KCC,JAC,0,0,0,0,0,0,0,0.72,8,0.05,2
345,TE,12309,"Pruitt, MyCole",TEN,CLE,0,0,0,0,0,0,0,0.54,7,0.01,2
346,TE,12328,"Boyle, Nick",BAL,MIA,0,0,0,0,0.04,0,0,1.12,11,0,2
347,TE,12330,"O'Shaughnessy, James",JAC,KCC,0,0,0,0,0,0,0,1.22,11,0,2
348,RB,12386,"Brown, Malcolm",LAR,CAR,0,0,0,0,3.73,20,0.02,0.37,3,0.04,2
349,RB,12871,"Foster, D.J.",ARI,DET,0,0,0,0,0.55,2,0.02,0.51,4,0,2
350,WR,9823,"Bryant, Dez",NOS,HOU,0,0,0,0,0.03,0,0,0.71,10,0.03,2
351,RB,12444,"Smith, Rod",NYG,DAL,0,0,0,0,2.76,9,0.02,0.54,3,0,2
352,QB,10262,"Gabbert, Blaine",TBB,SFO,2.18,26,0.13,0.2,0.37,1,0.03,0,0,0,2
353,WR,14124,"Johnson, KeeSean",ARI,DET,0,0,0,0,0.15,1,0,0.56,6,0,2
354,RB,10300,"Rodgers, Jacquizz",NOS,HOU,0,0,0,0,1.4,4,0.02,1.24,10,0,2
355,WR,14127,"Meyers, Jakobi",NEP,PIT,0,0,0,0,0.49,2,0,0.55,7,0,2
356,QB,13125,"Beathard, C.J.",SFO,TBB,1.58,20,0.11,0.1,0.36,1,0.02,0,0,0,2
357,TE,10318,"Kendricks, Lance",NEP,PIT,0,0,0,0,0,0,0,0.74,7,0,2
358,QB,13114,"Kizer, DeShone",GBP,CHI,2.77,31,0.08,0.33,1.04,6,0.02,0,0,0,2
359,WR,10289,"Smith, Torrey",CAR,LAR,0,0,0,0,0.06,0,0.01,0.87,12,0.06,2
360,TE,14140,"Sternberger, Jace",GBP,CHI,0,0,0,0,0,0,0,1.16,11,0,2
361,TE,10354,"Stocker, Luke",ATL,MIN,0,0,0,0,0.03,0,0,0.75,8,0.05,2
362,WR,12913,"Erickson, Alex",CIN,SEA,0,0,0,0,0.14,1,0,0.94,9,0,2
363,QB,10696,"Griffin III, Robert",BAL,MIA,0.71,7,0.11,0,1.58,7,0.07,0,0,0,2
364,WR,12917,"Harris, Maurice",NEP,PIT,0,0,0,0,0.08,0,0,0.7,7,0,2
365,WR,13387,"Johnson, Marcus",IND,LAC,0,0,0,0,0.09,0,0,0.42,6,0.02,1
366,RB,13240,"Hill, Brian",ATL,MIN,0,0,0,0,2.03,12,0,0.22,2,0,1
367,WR,14297,"Ursua, John",SEA,CIN,0,0,0,0,0.03,0,0,0.44,5,0,1
368,WR,12873,"Jones, Andy",DET,ARI,0,0,0,0,0,0,0,0.47,3,0.11,1
369,TE,13190,"Butt, Jake",DEN,OAK,0,0,0,0,0,0,0,0.36,5,0,1
370,QB,12616,"Brissett, Jacoby",IND,LAC,2.05,18,0.07,0.04,1.44,1,0.02,0,0,0,1
371,QB,11640,"Bridgewater, Teddy",NOS,HOU,0.92,8,0.06,0.11,1.59,4,0,0,0,0,1
372,QB,7813,"Smith, Alex",WAS,PHI,1.03,11,0.06,0.02,0.21,1,0.01,0,0,0,1
373,WR,13648,"Burnett, Deontay",NYJ,BUF,0,0,0,0,0.04,0,0,0.42,5,0,1
374,RB,14074,"Williams, Dexter",GBP,CHI,0,0,0,0,1.31,4,0,0.2,1,0,1
375,WR,13384,"Mizzell, Taquan",CHI,GBP,0,0,0,0,0.63,1,0,0.44,4,0.01,1
376,QB,12381,"Siemian, Trevor",NYJ,BUF,1.32,13,0.04,0.21,0.32,2,0,0,0,0,1
377,WR,13172,"Brown, Noah",DAL,NYG,0,0,0,0,0,0,0,0.47,5,0,1
378,QB,8712,"Stanton, Drew",CLE,TEN,1.96,19,0.04,0.21,0.56,3,0,0,0,0,1
379,TE,13065,"Tomlinson, Eric",NYJ,BUF,0,0,0,0,0,0,0,0.5,4,0.01,1
380,RB,14094,"Scarlett, Jordan",CAR,LAR,0,0,0,0,1.94,5,0,0.12,1,0,1
381,QB,12623,"Driskel, Jeff",CIN,SEA,1.01,10,0.03,0.03,0.23,1,0.02,0,0,0,1
382,WR,12586,"Jennings, Darius",TEN,CLE,0,0,0,0,0.01,0,0,0.46,5,0,1
383,RB,12155,"Abdullah, Ameer",MIN,ATL,0,0,0,0,0.85,2,0,0.43,3,0,1
384,TE,14141,"Smith Jr., Irv",MIN,ATL,0,0,0,0,0,0,0,0.56,4,0,1
385,RB,12447,"Mostert, Raheem",SFO,TBB,0,0,0,0,1.46,9,0.01,0.34,1,0,1
386,RB,12367,"Murphy, Marcus",BUF,NYJ,0,0,0,0,2.57,11,0,0.39,1,0,1
387,QB,13424,"Hill, Taysom",NOS,HOU,0.19,3,0,0,1.5,5,0.07,0,0,0,1
388,RB,12845,"Washington, Dwayne",NOS,HOU,0,0,0,0,1.53,8,0.01,0.04,0,0.01,1
389,RB,12857,"Washington, DeAndre",OAK,DEN,0,0,0,0,1.66,5,0,0.35,2,0,1
390,QB,10413,"Taylor, Tyrod",LAC,IND,1.93,21,0.06,0.08,1.11,5,0.02,0,0,0,1
391,RB,13148,"Ogunbowale, Dare",TBB,SFO,0,0,0,0,1.54,5,0,0.39,2,0,1
392,QB,7480,"Schaub, Matt",ATL,MIN,0.13,1,0,0,0.03,0,0,0,0,0,0
393,WR,13884,"Smith, Vyncint",HOU,NOS,0,0,0,0,0,0,0,0.29,3,0.02,0
394,QB,14060,"Jackson, Tyree",BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0
395,RB,13891,"Newsome, Detrez",LAC,IND,0,0,0,0,0.52,2,0,0.04,0,0,0
396,TE,13940,"Mundt, Johnny",LAR,CAR,0,0,0,0,0,0,0,0.02,0,0,0
397,RB,14029,"Ford, Keith",GBP,CHI,0,0,0,0,0.27,1,0,0.08,1,0,0
398,QB,9714,"Hoyer, Brian",NEP,PIT,0.15,1,0,0,1.65,0,0,0,0,0,0
399,RB,13961,"Dawkins, Dalyn",TEN,CLE,0,0,0,0,0,0,0,0,0,0,0
400,WR,13963,"Hodge, KhaDarel",LAR,CAR,0,0,0,0,0,0,0,0.01,0,0,0
401,QB,9899,"McCoy, Colt",WAS,PHI,0.03,0,0,0,0.01,0,0,0,0,0,0
402,RB,13916,"Howell, Buddy",HOU,NOS,0,0,0,0,0,0,0,0,0,0,0
403,WR,13911,"Willies, Derrick",CLE,TEN,0,0,0,0,0,0,0,0.17,3,0,0
404,RB,4397,"Nix, Roosevelt",PIT,NEP,0,0,0,0,0.06,0,0,0.08,1,0,0
405,QB,9706,"Daniel, Chase",CHI,GBP,0,0,0,0,1.08,0,0,0,0,0,0
406,QB,13892,"Litton, Chase",KCC,JAC,0,0,0,0,0,0,0,0,0,0,0
407,WR,13895,"Sims, Cam",WAS,PHI,0,0,0,0,0,0,0,0,0,0,0
408,TE,13988,"Dwelley, Ross",SFO,TBB,0,0,0,0,0,0,0,0.05,0,0,0
409,QB,9207,"Johnson, Josh",DET,ARI,0.11,1,0,0.01,0.04,0,0,0,0,0,0
410,RB,13958,"Turner, De'Lance",BAL,MIA,0,0,0,0,0.25,1,0,0.13,0,0,0
411,TE,13994,"Brown, Pharaoh",CLE,TEN,0,0,0,0,0,0,0,0,0,0,0
412,TE,13995,"Franks, Jordan",CIN,SEA,0,0,0,0,0,0,0,0.02,0,0,0
413,QB,9073,"Henne, Chad",KCC,JAC,0.32,4,0,0,0.2,1,0,0,0,0,0
414,WR,13990,"Scott, Da'Mari",FA,,0,0,0,0,0,0,0,0,0,0,0
415,WR,14114,"Harmon, Kelvin",WAS,PHI,0,0,0,0,0,0,0,0,0,0,0
416,TE,14591,"Lovett, John",KCC,JAC,0,0,0,0,0,0,0,0,0,0,0
417,RB,14097,"Ollison, Qadree",ATL,MIN,0,0,0,0,0,0,0,0,0,0,0
418,TE,14239,"Moreau, Foster",OAK,DEN,0,0,0,0,0,0,0,0,0,0,0
419,RB,14082,"Love, Bryce",WAS,PHI,0,0,0,0,0,0,0,0,0,0,0
420,RB,14083,"Homer, Travis",SEA,CIN,0,0,0,0,0,0,0,0,0,0,0
421,RB,14084,"Holyfield, Elijah",CAR,LAR,0,0,0,0,0.15,0,0,0.02,0,0,0
422,TE,14231,"Wesco, Trevon",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
423,RB,14086,"Hill, Justice",BAL,MIA,0,0,0,0,0.2,0,0,0,0,0,0
424,RB,14088,"Anderson, Rodney",CIN,SEA,0,0,0,0,0,0,0,0,0,0,0
425,WR,14208,"Johnson, Diontae",PIT,NEP,0,0,0,0,0,0,0,0,0,0,0
426,WR,14193,"Russell, Alonzo",NYG,DAL,0,0,0,0,0,0,0,0.01,0,0,0
427,RB,14095,"Johnson, Ty",DET,ARI,0,0,0,0,1.04,1,0,0.15,1,0,0
428,TE,14146,"Sample, Drew",CIN,SEA,0,0,0,0,0,0,0,0.05,0,0,0
429,RB,14096,"Ozigbo, Devine",NOS,HOU,0,0,0,0,0,0,0,0,0,0,0
430,TE,14145,"Wilson, Caleb",ARI,DET,0,0,0,0,0,0,0,0,0,0,0
431,TE,14240,"Gentry, Zach",PIT,NEP,0,0,0,0,0,0,0,0.03,0,0,0
432,RB,14098,"Crockett, Damarea",HOU,NOS,0,0,0,0,0,0,0,0,0,0,0
433,WR,14102,"Metcalf, DK",SEA,CIN,0,0,0,0,0,0,0,0,0,0,0
434,TE,14144,"Nauta, Isaac",DET,ARI,0,0,0,0,0,0,0,0,0,0,0
435,TE,14142,"Smith, Kaden",SFO,TBB,0,0,0,0,0,0,0,0,0,0,0
436,WR,14106,"Butler, Hakeem",ARI,DET,0,0,0,0,0,0,0,0,0,0,0
437,TE,14139,"Mack, Alize",NOS,HOU,0,0,0,0,0,0,0,0,0,0,0
438,WR,14129,"Mitchell, Dillon",MIN,ATL,0,0,0,0,0,0,0,0,0,0,0
439,WR,14126,"Williams, Preston",MIA,BAL,0,0,0,0,0,0,0,0,0,0,0
440,WR,14109,"McLaurin, Terry",WAS,PHI,0,0,0,0,0,0,0,0,0,0,0
441,WR,14111,"Lodge, DaMarkus",TBB,SFO,0,0,0,0,0,0,0,0,0,0,0
442,WR,14121,"Isabella, Andy",ARI,DET,0,0,0,0,0,0,0,0,0,0,0
443,WR,14120,"Jennings, Gary",SEA,CIN,0,0,0,0,0,0,0,0,0,0,0
444,RB,14081,"Gaskin, Myles",MIA,BAL,0,0,0,0,0.45,1,0,0.36,1,0.05,0
445,RB,14078,"Higdon, Karan",HOU,NOS,0,0,0,0,0,0,0,0,0,0,0
446,QB,14510,"Anderson, Drew",ARI,DET,0,0,0,0,0,0,0,0,0,0,0
447,TE,14324,"Raymond, Dax",CHI,GBP,0,0,0,0,0,0,0,0,0,0,0
448,RB,14480,"Ellis, Jordan",CIN,SEA,0,0,0,0,0,0,0,0,0,0,0
449,QB,14061,"McSorley, Trace",BAL,MIA,0,0,0,0,0,0,0,0,0,0,0
450,RB,14435,"Bonnafon, Reggie",CAR,LAR,0,0,0,0,0.55,0,0,0,0,0,0
451,TE,14370,"Hudson, Tanner",TBB,SFO,0,0,0,0,0,0,0,0,0,0,0
452,WR,14365,"Patton, Andre",LAC,IND,0,0,0,0,0,0,0,0,0,0,0
453,TE,14341,"Parham, Donald",WAS,PHI,0,0,0,0,0,0,0,0,0,0,0
454,QB,14063,"Stidham, Jarrett",NEP,PIT,0,0,0,0,0,0,0,0,0,0,0
455,QB,14064,"Thorson, Clayton",PHI,WAS,0,0,0,0,0,0,0,0,0,0,0
456,RB,14338,"Hilliman, Jon",NYG,DAL,0,0,0,0,0,0,0,0,0,0,0
457,RB,14333,"Hills, Wes",ARI,DET,0,0,0,0,0,0,0,0,0,0,0
458,TE,14332,"Conrad, C.J.",NYG,DAL,0,0,0,0,0,0,0,0.09,1,0,0
459,RB,14331,"Johnson, D'Ernest",CLE,TEN,0,0,0,0,0.06,0,0,0.36,4,0,0
460,TE,14319,"Beck, Andrew",NEP,PIT,0,0,0,0,0,0,0,0.06,1,0,0
461,RB,14077,"Weber, Mike",DAL,NYG,0,0,0,0,0,0,0,0,0,0,0
462,RB,14314,"Anderson, Bruce",TBB,SFO,0,0,0,0,0,0,0,0,0,0,0
463,QB,14067,"Minshew, Gardner",JAC,KCC,0.3,3,0,0,0.52,0,0,0,0,0,0
464,WR,14305,"Johnson, Olabisi",MIN,ATL,0,0,0,0,0,0,0,0,0,0,0
465,QB,14069,"Stick, Easton",LAC,IND,0,0,0,0,0,0,0,0,0,0,0
466,RB,14072,"Snell Jr., Benny",PIT,NEP,0,0,0,0,0.5,1,0,0.08,0,0,0
467,RB,14295,"Cox, Chandler",MIA,BAL,0,0,0,0,0,0,0,0,0,0,0
468,TE,14294,"Sweeney, Tommy",BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0
469,RB,14289,"Whyte, Kerrith",CHI,GBP,0,0,0,0,0.19,0,0,0,0,0,0
470,WR,14280,"Miller, Scott",TBB,SFO,0,0,0,0,0,0,0,0,0,0,0
471,WR,14277,"Green, Marcus",ATL,MIN,0,0,0,0,0.05,0,0,0.01,0,0,0
472,WR,14267,"Winfree, Juwann",DEN,OAK,0,0,0,0,0,0,0,0.03,0,0,0
473,RB,14076,"Williams, Trayveon",CIN,SEA,0,0,0,0,0.97,3,0,0.15,1,0,0
474,TE,10123,"Paulsen, Logan",ATL,MIN,0,0,0,0,0,0,0,0.41,4,0.01,0
475,WR,13169,"Chesson, Jehu",WAS,PHI,0,0,0,0,0.11,0,0,0.16,1,0.02,0
476,QB,13879,"Allen, Kyle",CAR,LAR,0.04,1,0,0,0.01,0,0,0,0,0,0
477,QB,12618,"Hogan, Kevin",DEN,OAK,0,0,0,0,0,0,0,0,0,0,0
478,RB,12639,"Ervin, Tyler",BAL,MIA,0,0,0,0,0.13,0,0,0.09,0,0,0
479,WR,12638,"Reynolds, Keenan",SEA,CIN,0,0,0,0,0,0,0,0,0,0,0
480,RB,12635,"Williams, Jonathan",IND,LAC,0,0,0,0,0.13,0,0,0,0,0,0
481,RB,12631,"Perkins, Paul",NYG,DAL,0,0,0,0,0.33,1,0,0.02,0,0,0
482,RB,12630,"Drake, Kenyan",MIA,BAL,0,0,0,0,0,0,0,0,0,0,0
483,RB,12627,"Prosise, C.J.",SEA,CIN,0,0,0,0,0.66,2,0,0.11,1,0,0
484,QB,12621,"Allen, Brandon",LAR,CAR,0,0,0,0,0,0,0,0,0,0,0
485,QB,12615,"Jones, Cardale",LAC,IND,0,0,0,0,0,0,0,0,0,0,0
486,RB,12642,"Farrow, Kenneth",MIA,BAL,0,0,0,0,0.15,0,0,0,0,0,0
487,QB,12612,"Lynch, Paxton",SEA,CIN,0.04,0,0,0,0.01,0,0,0,0,0,0
488,TE,12608,"Winchester, James",KCC,JAC,0,0,0,0,0,0,0,0,0,0,0
489,TE,12585,"Brown, Daniel",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
490,TE,12532,"Tye, Will",PHI,WAS,0,0,0,0,0,0,0,0,0,0,0
491,TE,12499,"Holmes, Gabe",IND,LAC,0,0,0,0,0,0,0,0,0,0,0
492,QB,12476,"Heinicke, Taylor",CAR,LAR,0.04,1,0,0,0.04,0,0,0,0,0,0
493,WR,12464,"Byrd, Damiere",ARI,DET,0,0,0,0,0,0,0,0,0,0,0
494,RB,12640,"Ferguson, Josh",HOU,NOS,0,0,0,0,0,0,0,0,0,0,0
495,WR,12667,"Williams, Duke",BUF,NYJ,0,0,0,0,0,0,0,0.13,1,0,0
496,TE,12405,"Saxton, Wes",SEA,CIN,0,0,0,0,0,0,0,0,0,0,0
497,TE,12868,"Braunecker, Ben",CHI,GBP,0,0,0,0,0,0,0,0.29,3,0,0
498,TE,12955,"Manhertz, Chris",CAR,LAR,0,0,0,0,0,0,0,0.11,1,0.01,0
499,WR,12949,"McEvoy, Tanner",TEN,CLE,0,0,0,0,0,0,0,0,0,0,0
500,RB,12929,"Pope, Troymaine",LAC,IND,0,0,0,0,0,0,0,0,0,0,0
501,RB,12923,"Ham, C.J.",MIN,ATL,0,0,0,0,0.26,0,0,0.37,3,0,0
502,WR,12921,"Lewis, Tommylee",DET,ARI,0,0,0,0,0.09,1,0,0.19,3,0.02,0
503,TE,12899,"Wick, Cole",TEN,CLE,0,0,0,0,0,0,0,0,0,0,0
504,TE,12898,"Travis, Ross",IND,LAC,0,0,0,0,0,0,0,0.04,1,0,0
505,RB,12867,"Wilds, Brandon",FA,,0,0,0,0,0.36,1,0,0,0,0,0
506,WR,12673,"Peake, Charone",NYJ,BUF,0,0,0,0,0,0,0,0.02,0,0,0
507,TE,12859,"Anderson, Stephen",NEP,PIT,0,0,0,0,0,0,0,0.3,3,0,0
508,QB,12819,"Rudock, Jake",MIA,BAL,0.03,0,0,0.01,0,0,0,0,0,0,0
509,TE,12816,"Morgan, David",MIN,ATL,0,0,0,0,0,0,0,0.26,2,0,0
510,QB,12815,"Sudfeld, Nate",PHI,WAS,0,0,0,0,0,0,0,0,0,0,0
511,WR,12800,"Davis, Trevor",GBP,CHI,0,0,0,0,0.05,0,0,0.19,3,0,0
512,TE,12685,"Perkins, Joshua",PHI,WAS,0,0,0,0,0,0,0,0.06,1,0,0
513,TE,12681,"Adams, Jerell",HOU,NOS,0,0,0,0,0,0,0,0,0,0,0
514,WR,12443,"Kumerow, Jake",GBP,CHI,0,0,0,0,0,0,0,0.49,4,0.01,0
515,WR,12398,"Taylor, Jordan",MIN,ATL,0,0,0,0,0,0,0,0,0,0,0
516,RB,13057,"Carson, Tra",GBP,CHI,0,0,0,0,0.09,0,0,0,0,0,0
