Rank,ID,Name,Team,Opp,Att,Yards,TDs,Tgt,Rec,Yards,TDs,Fantasy Points
67,13139,"Williams, Jamaal",GBP,CHI,6.6,26,0.18,2,1.49,14,0.02,6
68,13135,"Gallman, Wayne",NYG,DAL,5.89,23,0.08,3,1.6,10,0,5
69,12629,"Booker, Devontae",DEN,OAK,3.45,16,0.04,3,2.17,16,0,5
70,12264,"Zenner, Zach",DET,ARI,5.43,21,0.16,1,0.99,7,0,5
71,13136,"Clement, Corey",PHI,WAS,3.82,16,0.13,1,1.12,11,0.03,5
72,11199,"Ware, Spencer",IND,LAC,2.68,13,0.15,1,1.03,12,0,5
73,12632,"Dixon, Kenneth",BAL,MIA,5.62,27,0.07,1,0.95,8,0,5
74,14223,"Mattison, Alexander",MIN,ATL,7.41,24,0.11,2,1.32,7,0,5
75,14017,"Wilson, Jeffery",SFO,TBB,5.49,23,0,1,0.61,4,0,4
76,13133,"Perine, Samaje",WAS,PHI,5.86,19,0.03,2,1.37,9,0,4
77,13108,"McKissic, J.D.",SEA,CIN,2.92,12,0,2,1.19,8,0.09,4
78,13726,"Edmonds, Chase",ARI,DET,4.1,12,0.09,1,1,6,0,4
79,12832,"Jackson, Darius",DAL,NYG,0.73,37,0,0,0,0,0,4
80,13620,"Jackson, Justin",LAC,IND,3.18,12,0.1,2,1.14,10,0,4
81,10300,"Rodgers, Jacquizz",NOS,HOU,1.74,6,0.02,2,1.76,15,0,4
82,14284,"Thompson, Darwin",KCC,JAC,1.83,40,0,1,0.47,4,0,4
83,13611,"Adams, Josh",PHI,WAS,6.7,27,0.12,1,0.31,3,0,4
84,11367,"Juszczyk, Kyle",SFO,TBB,0.33,1,0,2,1.51,16,0.06,4
85,14085,"Pollard, Tony",DAL,NYG,3.66,14,0.02,1,0.61,4,0,3
86,13816,"Cannon, Trenton",NYJ,BUF,2.66,8,0.09,1,0.91,6,0,3
87,13789,"Wilkins, Jordan",IND,LAC,3.09,19,0.06,1,1.03,5,0,3
88,12261,"Montgomery, Ty",NYJ,BUF,2.48,11,0.04,2,1.08,8,0,3
89,12161,"Artis-Payne, Cameron",CAR,LAR,3.87,16,0.2,1,0.3,2,0.02,3
90,11101,"Develin, James",NEP,PIT,0.19,0,0.16,1,0.57,3,0,2
91,12444,"Smith, Rod",NYG,DAL,2.76,9,0.02,1,0.54,3,0,2
92,13239,"Penny, Elijhaa",NYG,DAL,0.55,2,0,1,0.56,4,0,2
93,12871,"Foster, D.J.",ARI,DET,0.55,2,0.02,1,0.51,4,0,2
94,13871,"Hilliard, Dontrell",CLE,TEN,0.05,0,0,1,0.75,8,0,2
95,12386,"Brown, Malcolm",LAR,CAR,3.73,20,0.02,1,0.37,3,0.04,2
96,11175,"Ellington, Andre",TBB,SFO,1.31,4,0,1,0.62,6,0,2
97,13240,"Hill, Brian",ATL,MIN,2.03,12,0,0,0.22,2,0,1
98,12367,"Murphy, Marcus",BUF,NYJ,2.57,11,0,1,0.39,1,0,1
