"Draft Planner Cheat Sheet",VBD2,Value Based Drafting from Draft Planner,08/06/2019,710
Rank,ID,"Last Name","First Name",Position,Team,Points,VBD,"Bye Week"
100,528,Rams,Los Angeles,D,LAR,-13.1,0.0,9
101,508,Titans,Tennessee,D,TEN,-13.7,-0.7,11
102,11339,Tavecchio,Giorgio,K,ATL,130.7,-0.9,9
103,13634,Pettis,Dante,WR,SFO,197.8,-0.9,4
104,13290,Cohen,Tarik,RB,CHI,217.4,-0.9,6
105,5848,Brady,Tom,QB,NEP,311.9,-1.0,10
106,507,Browns,Cleveland,D,CLE,-14.1,-1.0,7
107,515,Seahawks,Seattle,D,SEA,-14.1,-1.0,11
108,9918,Sanders,Emmanuel,WR,DEN,197.2,-1.5,10
109,14071,Montgomery,David,RB,CHI,216.3,-2.0,6
110,13241,Rosas,Aldrick,K,NYG,127.9,-3.7,11
111,510,Steelers,Pittsburgh,D,PIT,-16.9,-3.9,7
112,13909,Maher,Brett,K,DAL,127.2,-4.4,8
113,522,Lions,Detroit,D,DET,-18.2,-5.2,5
114,12417,Lambo,Josh,K,JAC,126.4,-5.2,10
115,4925,Brees,Drew,QB,NOS,307.5,-5.3,9
116,13605,Guice,Derrius,RB,WAS,212.7,-5.6,10
117,13364,Carson,Chris,RB,SEA,212.6,-5.7,11
118,12630,Drake,Kenyan,RB,MIA,211.8,-6.5,5
119,505,Jets,New York,D,NYJ,-19.9,-6.8,4
120,13980,Badgley,Mike,K,LAC,124.7,-6.9,12
121,2842,Vinatieri,Adam,K,IND,124.5,-7.1,6
122,506,Bengals,Cincinnati,D,CIN,-20.3,-7.2,9
123,10700,Cousins,Kirk,QB,MIN,305.5,-7.4,12
124,526,Falcons,Atlanta,D,ATL,-21.0,-7.9,9
125,503,Dolphins,Miami,D,MIA,-21.3,-8.3,5
126,8742,Crosby,Mason,K,GBP,122.5,-9.1,11
127,11387,Hopkins,Dustin,K,WAS,122.0,-9.6,10
128,7394,Rivers,Philip,QB,LAC,302.8,-10.1,12
129,13718,Carlson,Daniel,K,OAK,121.4,-10.2,6
130,11695,Ebron,Eric,TE,IND,151.8,-10.3,6
131,12611,Goff,Jared,QB,LAR,302.4,-10.5,9
132,12676,Henry,Hunter,TE,LAC,150.2,-11.8,12
133,11783,Brown,John,WR,BUF,186.8,-11.9,6
134,12634,Howard,Jordan,RB,PHI,205.8,-12.5,10
135,516,Cowboys,Dallas,D,DAL,-27.2,-14.1,8
136,520,Redskins,Washington,D,WAS,-28.4,-15.4,10
137,10708,Miller,Lamar,RB,HOU,202.9,-15.4,10
138,10506,Bailey,Dan,K,MIN,115.6,-15.9,12
139,501,Bills,Buffalo,D,BUF,-29.1,-16.0,6
140,9474,Cook,Jared,TE,NOS,145.1,-17.0,9
141,13189,Engram,Evan,TE,NYG,145.1,-17.0,11
142,527,Panthers,Carolina,D,CAR,-30.2,-17.1,7
143,9448,McCoy,LeSean,RB,BUF,200.8,-17.5,6
144,8687,Olsen,Greg,TE,CAR,144.5,-17.6,7
145,517,Giants,New York,D,NYG,-30.7,-17.6,11
146,11672,Lee,Marqise,WR,JAC,181.0,-17.7,10
147,11960,Catanzaro,Chandler,K,NYJ,113.6,-18.0,4
148,13589,Allen,Josh,QB,BUF,294.1,-18.7,6
149,11936,Boswell,Chris,K,PIT,112.1,-19.5,7
150,8416,Walker,Delanie,TE,TEN,142.2,-19.9,11
151,11257,McDonald,Vance,TE,PIT,141.9,-20.2,7
152,12677,Hooper,Austin,TE,ATL,140.7,-21.3,9
153,11945,Santos,Cairo,K,TBB,110.0,-21.6,7
154,10862,Bullock,Randy,K,CIN,109.4,-22.2,9
155,13192,Njoku,David,TE,CLE,139.9,-22.2,7
156,13608,Penny,Rashaad,RB,SEA,195.8,-22.5,11
157,10312,Rudolph,Kyle,TE,MIN,139.0,-23.0,12
158,11947,McManus,Brandon,K,DEN,107.9,-23.7,10
159,11705,Burton,Trey,TE,CHI,138.0,-24.0,6
160,9694,Gano,Graham,K,CAR,106.0,-25.6,7
161,11250,Eifert,Tyler,TE,CIN,136.2,-25.8,9
162,9925,Graham,Jimmy,TE,GBP,135.9,-26.1,11
163,525,Buccaneers,Tampa Bay,D,TBB,-39.7,-26.6,7
164,6997,Witten,Jason,TE,DAL,135.4,-26.6,8
165,12773,Moore,Chris,WR,BAL,170.8,-27.9,8
166,10723,Sanu,Mohamed,WR,ATL,169.7,-29.0,9
167,12665,Allison,Geronimo,WR,GBP,169.3,-29.4,11
168,11516,Doyle,Jack,TE,IND,132.3,-29.8,6
169,10313,Dalton,Andy,QB,CIN,282.9,-29.9,9
170,11760,Garoppolo,Jimmy,QB,SFO,282.8,-30.0,4
171,13832,Sanders,Jason,K,MIA,101.2,-30.4,5
172,13593,Jackson,Lamar,QB,BAL,281.4,-31.5,8
173,13898,Joseph,Greg,K,CLE,99.9,-31.7,7
174,518,Eagles,Philadelphia,D,PHI,-45.1,-32.1,10
175,11677,Moncrief,Donte,WR,PIT,166.5,-32.2,7
176,8673,Ginn Jr.,Ted,WR,NOS,165.9,-32.8,9
177,13347,Gonzalez,Zane,K,ARZ,98.4,-33.2,12
178,11670,Watkins,Sammy,WR,KCC,165.4,-33.3,12
179,13622,Hines,Nyheim,RB,IND,182.1,-36.2,6
180,519,Cardinals,Arizona,D,ARZ,-49.2,-36.2,12
181,13115,Trubisky,Mitchell,QB,CHI,276.5,-36.4,6
182,12152,Coleman,Tevin,RB,SFO,181.2,-37.1,4
183,13674,Goedert,Dallas,TE,PHI,124.5,-37.6,10
184,13138,Hunt,Kareem,RB,CLE,180.1,-38.2,7
185,530,49ers,San Francisco,D,SFO,-52.1,-39.0,4
186,8658,Peterson,Adrian,RB,WAS,178.4,-39.9,10
187,523,Packers,Green Bay,D,GBP,-53.9,-40.8,11
188,12263,Waller,Darren,TE,OAK,120.4,-41.6,6
189,13671,Andrews,Mark,TE,BAL,120.2,-41.8,8
190,14101,Harry,N'Keal,WR,NEP,156.2,-42.6,10
191,513,Raiders,Oakland,D,OAK,-58.4,-45.3,6
192,13719,Pineiro,Eddy,K,CHI,85.6,-46.0,6
193,13613,Samuels,Jaylen,RB,PIT,171.7,-46.6,7
194,14138,Hockenson,T.J.,TE,DET,114.7,-47.3,5
195,12110,Brate,Cameron,TE,TBB,114.3,-47.8,7
196,13157,Samuel,Curtis,WR,CAR,150.9,-47.8,7
197,13793,Valdes-Scantling,Marquez,WR,GBP,149.0,-49.7,11
198,12205,Funchess,Devin,WR,IND,148.2,-50.5,6
199,9075,Jackson,DeSean,WR,PHI,148.0,-50.7,10
200,12141,Mariota,Marcus,QB,TEN,261.1,-51.8,11
201,9431,Stafford,Matthew,QB,DET,260.6,-52.3,5
202,10960,Gordon,Josh,WR,NEP,146.3,-52.4,10
203,12176,Parker,DeVante,WR,MIA,145.6,-53.1,5
204,11248,Reed,Jordan,TE,WAS,108.6,-53.4,10
205,11227,Stills,Kenny,WR,MIA,144.2,-54.5,5
206,13646,Gallup,Michael,WR,DAL,144.1,-54.6,8
207,12637,Barber,Peyton,RB,TBB,163.0,-55.3,7
208,11644,Carr,Derek,QB,OAK,255.1,-57.7,6
209,10389,Lewis,Dion,RB,TEN,160.5,-57.8,11
210,13763,Dissly,Will,TE,SEA,104.0,-58.0,11
211,12648,Doctson,Josh,WR,WAS,140.3,-58.4,10
212,13404,Ekeler,Austin,RB,LAC,159.3,-59.0,12
213,13606,Jones,Ronald,RB,TBB,159.2,-59.1,7
214,7391,Manning,Eli,QB,NYG,253.4,-59.5,11
215,14056,Murray,Kyler,QB,ARZ,253.1,-59.8,12
216,11239,Goodwin,Marquise,WR,SFO,138.9,-59.8,4
217,14137,Fant,Noah,TE,DEN,100.9,-61.2,10
218,13639,Miller,Anthony,WR,CHI,137.4,-61.4,6
219,11186,Thompson,Chris,RB,WAS,155.3,-63.0,10
220,13378,Breida,Matt,RB,SFO,155.2,-63.1,4
221,13662,Coutee,Keke,WR,HOU,135.4,-63.3,10
222,12184,Crowder,Jamison,WR,NYJ,134.9,-63.8,4
223,14102,Metcalf,DK,WR,SEA,134.9,-63.9,11
224,13193,Smith,Jonnu,TE,TEN,98.1,-63.9,11
225,13768,Smith,Ito,RB,ATL,154.2,-64.1,9
226,13633,Kirk,Christian,WR,ARZ,133.6,-65.1,12
227,11390,Murray,Latavius,RB,NOS,153.1,-65.2,9
228,11681,Richardson,Paul,WR,WAS,133.3,-65.4,10
229,13617,Freeman,Royce,RB,DEN,152.6,-65.7,10
230,9064,Flacco,Joe,QB,DEN,246.3,-66.6,10
231,11761,McKinnon,Jerick,RB,SFO,150.9,-67.4,4
232,12157,Johnson,Duke,RB,CLE,150.6,-67.7,7
233,13679,Herndon,Chris,TE,NYJ,94.3,-67.7,4
234,13640,Callaway,Antonio,WR,CLE,130.7,-68.0,7
235,7422,Watson,Benjamin,TE,NEP,92.5,-69.5,10
236,13158,Westbrook,Dede,WR,JAC,127.5,-71.2,10
237,13645,Smith,Tre'Quan,WR,NOS,127.0,-71.8,9
238,10948,Keenum,Case,QB,WAS,240.7,-72.2,10
239,12656,Higgins,Rashard,WR,CLE,124.9,-73.8,7
240,14079,Sanders,Miles,RB,PHI,143.8,-74.5,10
